,County,percent_food_desert,pop2010_in_des,num_tracts,n_food_des,n_urban,n_rural,urban_des,rural_des,Rural,Urban,LILATracts_1And10,high_food_des_prev,cnty_obesity_pct,cnty_obesity_pct_adj,cnty_dm_pct,cnty_dm_pct_adj,cnty_inactive_pct,cnty_inactive_pct_adj,POP2010,OHU2010,NUMGQTRS,HUNVFlag,Adolescent_births,ABR,p_hs_edatt,PC_PHYS_R,DENTIST_R,PSYCH_R,PCT_HSPNC,PCT_WHITE,PCT_BLACK,PCT_ASIAN,PCT_AMIND_ESK,PCT_ISLANDER,PCT_MULTI,PCT_OTHER,PCT_65OVER,PCT_18_64,PCT_UNDR18,PCT_UNDER5,des_percent,unemployment_rate,n_hospitals,mort_30_ami,mort_30_cabg,mort_30_copd,mort_30_hf,mort_30_pn,mort_30_stk,readm_30_ami,readm_30_cabg,readm_30_copd,readm_30_hf,readm_30_hip_knee,readm_30_hosp_wide,readm_30_pn,readm_30_stk,Amebiasis,Anaplasmosis and Ehrlichiosis,Babesiosis,"Botulism, Foodborne","Botulism, Other","Botulism, Wound",Brucellosis,Campylobacteriosis,Chlamydia,Cholera,Ciguatera Fish Poisoning,Coccidioidomycosis,Creutzfeldt-Jakob Disease and other Transmissible Spongiform Encephalopathies,Cryptosporidiosis,Cysticercosis or Taeniasis,Dengue,Diphtheria,E. coli O157,E. coli Other STEC (non-O157),Early Syphilis,Giardiasis,Gonorrhea,HIV,Hantavirus Infection,Hemolytic Uremic Syndrome,Influenza Death (<65 years of age),Invasive Meningococcal Disease,Legionellosis,Leprosy,Leptospirosis,Listeriosis,Lyme Disease,Malaria,Measles,Mumps,Paralytic Shellfish Poisoning,Pertussis,"Plague, human",Psittacosis,Q Fever,"Rabies, human",Relapsing Fever,Rubella,Salmonellosis,Scombroid Fish Poisoning,Shiga Toxin Positive Feces (without culture confirmation),Shigellosis,Spotted Fever Rickettsiosis,Staphylococcus aureus Infection (cases resulting in death or ICU),Streptococcal Infection (cases in food and dairy workers),Tetanus,Toxic Shock Syndrome (Non-Streptococcal),Trichinosis,Tuberculosis,Tularemia,"Typhoid Fever, case",Typhus Fever,Varicella Hospitalizations,Vibrio Infection (non-Cholera),Yersiniosis,Cnty_Fips,opiods_rx_1000
10,Glenn,0.73710973615,20729.0,6.0,3.0,3.0,3.0,3.0,0.0,0.5,0.5,0.5,1.0,26.8,26.6,7.8,7.1,18.7,18.2,28122,9800,316.0,2,119.0,38.4,72.3,2855.69333333,1529.54666667,0.0,44.1033333333,75.1833333333,0.956666666667,2.46666666667,3.14333333333,0.0766666666667,2.71666666667,20.9233333333,11.9366666667,59.1433333333,28.9166666667,8.86,0.5,10.1454545455,14.0,,,,11.5,11.4,,,,,21.3,,15.3,16.2,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.106,163.445,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.872,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.553,0.0,0.0,0.0,0.0,0.0,0.0,10.659,0.0,0.0,7.106,0.0,0.0,0.0,0.0,0.0,0.0,3.553,0.0,0.0,0.0,0.0,0.0,0.0,21,965.46
11,Humboldt,0.241556049115,32519.0,30.0,8.0,16.0,14.0,6.0,2.0,0.466666666667,0.533333333333,0.266666666667,0.0,26.5,26.3,8.4,7.8,17.2,16.9,134623,56031,5014.0,5,293.0,22.98,90.9,1607.54,2103.22,960.04,7.462,80.452,1.208,3.314,15.498,0.722,4.576,3.688,13.368,64.714,21.92,5.924,0.266666666667,8.53827160494,56.0,14.6,,9.76666666667,13.2666666667,12.2666666667,15.8333333333,16.1,,20.0666666667,20.2666666667,4.1,14.7666666667,15.0666666667,12.1666666667,0.743,0.0,0.0,0.0,0.0,0.0,0.0,14.853,259.179,0.0,0.0,0.0,2.228,9.654,0.0,0.0,0.0,0.743,0.0,0.743,7.426,23.022,1.485,0.0,0.0,0.0,2.971,0.0,0.0,0.0,0.0,8.912,0.0,0.0,0.0,0.0,43.073,0.0,0.0,0.0,0.0,0.0,0.0,8.169,0.0,0.0,0.743,0.0,3.713,0.0,0.0,0.0,0.0,0.743,0.0,0.0,0.0,0.0,0.0,0.0,23,1385.34
12,Imperial,0.337842638431,58963.0,31.0,9.0,20.0,11.0,6.0,3.0,0.354838709677,0.645161290323,0.290322580645,1.0,23.5,23.3,7.4,7.5,23.1,23.2,174528,49126,10684.0,11,1032.0,40.34,62.9,2924.672,10969.084,1751.112,69.738,67.028,4.174,1.838,11.69,0.24,2.924,18.022,11.558,58.27,30.174,9.178,0.290322580645,17.9081395349,28.0,15.2,,7.45,11.25,12.45,12.55,17.0,,21.6,22.3,4.95,15.7,18.05,12.15,0.57,0.57,0.0,0.0,0.0,0.0,0.0,18.242,374.521,0.0,0.0,2.28,0.0,0.57,0.0,0.0,0.0,0.57,0.57,0.0,0.57,14.251,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.13,0.0,0.0,0.0,0.0,0.0,0.0,25.082,0.0,0.0,27.932,0.0,0.0,0.0,0.0,0.0,0.0,13.681,0.0,0.0,0.0,0.57,0.57,0.57,25,511.2
13,Inyo,0.182141701715,3378.0,6.0,1.0,2.0,4.0,0.0,1.0,0.666666666667,0.333333333333,0.166666666667,0.0,23.8,23.7,9.3,7.4,15.9,15.0,18546,8049,433.0,0,53.0,26.7666666667,81.668627451,1300.65,1514.96666667,4286.33333333,18.5233333333,78.3333333333,0.906666666667,1.51333333333,10.6866666667,0.26,1.91,10.34,19.25,59.1833333333,21.5633333333,5.59666666667,0.166666666667,6.72068965517,28.0,,,7.7,12.7,13.8,,,,21.0,21.2,4.5,14.5,16.8,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.587,178.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.793,16.19,0.0,5.397,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.173,0.0,0.0,0.0,0.0,0.0,0.0,5.397,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.397,0.0,0.0,0.0,0.0,0.0,0.0,27,1077.22
14,Kern,0.159990519645,134333.0,151.0,21.0,131.0,20.0,17.0,4.0,0.132450331126,0.867549668874,0.139072847682,0.0,27.8,27.6,7.8,8.2,22.1,22.3,839631,254610,36757.0,32,5411.0,49.2866666667,71.0,3453.89466667,4181.90466667,11117.2,45.0353333333,75.1206666667,4.95333333333,3.77133333333,2.52933333333,0.29,3.61533333333,17.1813333333,9.942,60.8913333333,29.168,8.146,0.139072847682,11.8895582329,126.0,14.725,3.33333333333,8.6,11.1142857143,12.7142857143,14.45,17.325,15.3333333333,20.9142857143,22.8285714286,4.9,15.8777777778,17.6714285714,13.375,0.119,0.119,0.0,0.0,0.0,0.0,0.0,31.266,626.636,0.0,0.0,227.543,0.238,0.951,0.0,0.119,0.0,0.357,0.713,4.993,3.329,115.317,12.245,0.0,0.119,0.0,0.951,0.357,0.0,0.0,0.238,0.238,0.238,0.0,0.119,0.0,44.7,0.0,0.0,0.0,0.0,0.0,0.0,11.175,0.0,0.0,1.189,0.119,0.238,0.0,0.0,0.238,0.0,4.161,0.0,0.119,0.0,0.119,0.0,0.119,29,664.3
15,Kings,0.240910695376,36855.0,27.0,7.0,23.0,4.0,7.0,0.0,0.148148148148,0.851851851852,0.259259259259,0.0,24.2,24.0,7.5,8.4,19.6,20.2,152982,41233,21580.0,5,784.0,63.2,69.5,1812.96666667,8659.86333333,22562.1666667,63.4566666667,71.1933333333,7.58333333333,3.00666666667,2.17666666667,0.153333333333,2.80666666667,18.8533333333,6.35,65.7533333333,27.9,8.54,0.259259259259,12.5211267606,28.0,15.9,,9.8,12.5,13.6,16.3,18.2,,22.2,25.0,4.6,16.1,14.8,12.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.859,324.835,0.0,0.0,248.865,0.0,0.0,0.0,0.0,0.0,0.655,0.0,3.275,1.31,14.408,9.169,0.0,0.0,0.0,0.655,0.655,0.0,0.0,0.0,0.0,0.655,0.0,0.0,0.0,17.028,0.0,0.0,0.0,0.0,0.0,0.0,3.929,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.62,0.0,0.0,0.0,0.0,0.0,0.0,31,685.7
16,Lake,0.0,0.0,15.0,0.0,5.0,10.0,0.0,0.0,0.666666666667,0.333333333333,0.0,0.0,26.7,26.2,10.0,8.0,20.1,18.9,64665,26548,1085.0,2,218.0,35.8,87.3,3110.756,5344.048,8516.6,15.34,89.514,2.554,2.046,4.448,0.536,3.344,4.536,17.522,60.55,21.928,5.402,0.0,11.346,28.0,15.6,,7.55,11.55,10.4,13.8,,,19.25,21.95,5.4,15.85,16.5,11.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.836,267.794,0.0,0.0,1.548,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.644,6.192,43.342,1.548,0.0,0.0,0.0,0.0,3.096,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.74,0.0,0.0,0.0,0.0,0.0,0.0,6.192,0.0,1.548,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.096,0.0,0.0,0.0,0.0,0.0,0.0,33,1829.16
17,Lassen,0.160567416535,5603.0,9.0,2.0,2.0,7.0,0.0,2.0,0.777777777778,0.222222222222,0.222222222222,0.0,25.6,25.3,7.5,7.8,16.6,16.9,34895,10058,9779.0,0,86.0,33.0,79.3,1645.4875,1598.45,0.0,19.9325,71.2375,9.3825,1.8875,3.6025,0.82,1.9625,15.11,11.0625,73.695,15.245,3.2175,0.222222222222,9.76129032258,14.0,,,8.4,11.2,11.7,,,,20.1,20.6,,14.6,17.2,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,202.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.845,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.845,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35,1213.62
18,Los Angeles,0.0288337294351,283107.0,2343.0,65.0,2301.0,42.0,65.0,0.0,0.0179257362356,0.982074263764,0.0277422108408,0.0,21.3,21.2,7.7,7.8,18.1,18.1,9818605,3241204,171681.0,210,30912.0,26.3632653061,75.9,3190.98131313,3496.45808081,22955.9669697,46.5351515152,54.5477777778,9.63323232323,14.1304040404,1.2002020202,0.434646464646,3.15949494949,23.4583838384,10.4801010101,64.218989899,25.301010101,6.71383838384,0.0277422108408,8.64274114972,1134.0,13.3586206897,3.076,6.85322580645,9.73134328358,10.047761194,13.3339285714,17.2781818182,15.04,19.9142857143,22.6268656716,4.67272727273,15.5067567568,17.0455882353,13.2982142857,1.323,0.0,0.0,0.0,0.0,0.02,0.081,13.26,485.224,0.0,0.0,2.503,0.031,0.733,0.061,0.326,0.0,0.163,0.356,16.821,3.419,101.986,22.042,0.0,0.02,0.041,0.275,1.13,0.031,0.0,0.234,0.081,0.244,0.081,0.204,0.0,14.196,0.0,0.0,0.01,0.0,0.0,0.0,12.252,0.031,0.163,3.969,0.01,0.254,0.01,0.0,0.01,0.0,7.347,0.0,0.193,0.326,0.204,0.132,0.142,37,419.64
19,Madera,0.133132270573,20085.0,23.0,2.0,10.0,13.0,2.0,0.0,0.565217391304,0.434782608696,0.0869565217391,0.0,29.7,29.5,9.1,8.8,18.6,18.5,150865,43317,8624.0,3,845.0,39.7,67.8,1547.38666667,2216.70333333,0.0,39.4033333333,83.7233333333,5.01333333333,2.05333333333,4.32666666667,0.27,4.92333333333,9.67333333333,12.6566666667,62.3733333333,24.9666666667,6.79,0.0869565217391,12.2758064516,14.0,15.0,,10.3,14.8,15.5,17.0,18.1,,20.7,22.5,4.8,15.5,16.3,13.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.365,463.924,0.0,0.0,21.808,0.0,0.661,0.0,0.0,0.0,0.661,0.0,0.0,2.643,54.851,7.269,0.0,0.0,0.0,0.661,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,79.303,0.0,0.0,0.0,0.0,0.0,0.0,11.235,0.0,0.661,3.965,0.0,0.0,0.0,0.0,0.0,0.0,1.983,0.0,0.0,0.0,0.0,0.0,0.0,39,668.3
20,Marin,0.0222852592419,5625.0,55.0,1.0,48.0,7.0,1.0,0.0,0.127272727273,0.872727272727,0.0181818181818,0.0,15.4,15.0,5.5,4.6,10.8,10.4,252409,103210,9044.0,3,196.0,8.6,91.9,1273.585,1685.625,1748.775,13.26,84.6525,3.2825,6.505,0.815,0.5,3.0575,7.55,15.855,63.845,20.2975,5.57,0.0181818181818,5.77543859649,42.0,11.7,2.6,7.65,12.6,11.0,14.7,16.1,15.6,19.2,22.45,5.0,15.4333333333,16.05,12.0,1.583,0.0,0.0,0.0,0.0,0.0,0.0,26.91,240.999,0.0,0.0,0.791,0.0,2.374,0.0,0.396,0.0,2.77,0.0,3.562,8.31,26.118,11.08,0.0,0.0,0.0,0.396,0.0,0.0,0.0,0.0,0.791,1.187,0.0,0.0,0.0,138.901,0.0,0.0,0.0,0.0,0.0,0.0,12.663,0.0,0.0,2.77,0.0,0.0,0.0,0.0,0.0,0.0,4.353,0.0,0.0,0.0,0.0,1.583,0.0,41,696.46
21,Mariposa,0.0,0.0,6.0,0.0,0.0,6.0,0.0,0.0,1.0,0.0,0.0,0.0,23.8,23.4,9.4,7.1,20.5,18.7,18251,7693,725.0,1,39.0,12.75,81.668627451,934.89,2133.335,0.0,12.01,87.02,3.24,4.81,5.03,0.2,3.085,2.78,12.33,73.37,14.3,2.65,0.0,10.7565217391,14.0,,,7.9,,11.5,,,,19.5,,,15.3,16.7,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,109.926,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.496,5.496,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.963,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43,1106.68
22,Mendocino,0.247094181533,21705.0,20.0,5.0,8.0,12.0,2.0,3.0,0.6,0.4,0.25,0.0,24.8,24.6,7.7,6.6,18.8,18.0,87841,34945,2044.0,2,271.0,36.1,84.1,1441.09166667,1315.06166667,3038.00666667,18.8583333333,84.5083333333,1.1325,2.5875,8.94833333333,0.224166666667,3.185,5.85333333333,15.1225,63.2591666667,21.62,5.5425,0.25,8.575,42.0,14.8,,8.03333333333,13.6666666667,12.0,15.9333333333,,,19.5333333333,21.4,4.9,14.5333333333,15.7333333333,12.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.711,295.733,0.0,0.0,0.0,2.275,1.137,0.0,0.0,0.0,1.137,0.0,0.0,17.062,17.062,1.137,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.825,1.137,0.0,0.0,0.0,30.711,0.0,0.0,0.0,0.0,0.0,0.0,14.787,0.0,1.137,1.137,0.0,1.137,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45,1363.34
